,open,high,low,close,volume,value
2023-05-08 09:00:00,2510000.0,2531000.0,2350000.0,2436000.0,100362.79313721,246862917356.2958
2023-05-15 09:00:00,2435000.0,2487000.0,2405000.0,2430000.0,55331.33775,135344928674.5025
2023-05-22 09:00:00,2432000.0,2550000.0,2380000.0,2542000.0,72342.85176044,177027225455.7852
2023-05-29 09:00:00,2540000.0,2566000.0,2467000.0,2502000.0,58282.6150929,146634047613.38733
2023-06-05 09:00:00,2503000.0,2503000.0,2290000.0,2324000.0,95818.52152357,230359392520.27075
2023-06-12 09:00:00,2324000.0,2327000.0,2130000.0,2253000.0,89476.18130344,200009250124.57852
2023-06-19 09:00:00,2253000.0,2571000.0,2233000.0,2514000.0,130269.89457961,317972170043.2373
2023-06-26 09:00:00,2513000.0,2600000.0,2428000.0,2572000.0,113804.34420058,285363934356.3437
2023-07-03 09:00:00,2572000.0,2616000.0,2442000.0,2460000.0,69636.4367417,176274025110.6466
2023-07-10 09:00:00,2460000.0,2580000.0,2424000.0,2476000.0,88134.38596045,220038801260.0566
2023-07-17 09:00:00,2477000.0,2486000.0,2417000.0,2444000.0,55093.50099883,134850532154.28549
2023-07-24 09:00:00,2444000.0,2447000.0,2389000.0,2409000.0,46772.93220864,112970656027.94083
2023-07-31 09:00:00,2412000.0,2450000.0,2370000.0,2427000.0,42879.8043838,103722847044.2567
2023-08-07 09:00:00,2429000.0,2483000.0,2391000.0,2456000.0,40182.31400663,98440179162.05441
2023-08-14 09:00:00,2456000.0,2483000.0,2246000.0,2312000.0,83751.95394892,197861177079.53506
2023-08-21 09:00:00,2311000.0,2314000.0,2200000.0,2247000.0,44727.85434373,100994672923.10756
2023-08-28 09:00:00,2247000.0,2354000.0,2205000.0,2225000.0,64411.39492444,146488354994.7991
2023-09-04 09:00:00,2226000.0,2285000.0,2190000.0,2205000.0,35460.17835474,78714425111.37569
2023-09-11 09:00:00,2205000.0,2233000.0,2100000.0,2187000.0,53847.25319747,117309320891.09982
2023-09-18 09:00:00,2188000.0,2242000.0,2130000.0,2137000.0,46781.51867561,102168397002.42036
2023-09-25 09:00:00,2139000.0,2355000.0,2115000.0,2340000.0,59824.99073003,132983656074.41637
2023-10-02 09:00:00,2340000.0,2359000.0,2190000.0,2216000.0,59033.89176465,132890698775.86671
2023-10-09 09:00:00,2218000.0,2226000.0,2087000.0,2127000.0,50689.54573457,108451641702.3841
2023-10-16 09:00:00,2128000.0,2244000.0,2112000.0,2236000.0,83271.37159939,180092573159.6026
2023-10-23 09:00:00,2235000.0,2516000.0,2234000.0,2436000.0,150456.71475541,361833664873.47064
2023-10-30 09:00:00,2436000.0,2564000.0,2405000.0,2541000.0,116593.62490594,288355610406.2727
2023-11-06 09:00:00,2541000.0,2875000.0,2489000.0,2724000.0,227276.76486572,612673444771.6818
2023-11-13 09:00:00,2725000.0,2841000.0,2587000.0,2680000.0,181388.84945209,491821317823.75055
2023-11-20 09:00:00,2680000.0,2848000.0,2618000.0,2768000.0,122460.3132504,335586553957.3656
2023-11-27 09:00:00,2768000.0,2962000.0,2688000.0,2942000.0,106191.67050802,296009803053.58954
2023-12-04 09:00:00,2942000.0,3274000.0,2942000.0,3213000.0,244744.52435306,764737982579.4484
2023-12-11 09:00:00,3213000.0,3221000.0,2980000.0,3013000.0,150489.45795754,463838730265.2524
2023-12-18 09:00:00,3013000.0,3189000.0,2885000.0,3050000.0,198617.81643921,606118122922.5271
2023-12-25 09:00:00,3054000.0,3250000.0,2952000.0,3082000.0,186241.25242294,576538235495.6827
2024-01-01 09:00:00,3082000.0,3230000.0,2851000.0,2995000.0,161442.66456669,494123206682.304
2024-01-08 09:00:00,2995000.0,3719000.0,2906000.0,3396000.0,522354.37488641,1786357452100.385
2024-01-15 09:00:00,3396000.0,3582000.0,3348000.0,3391000.0,122703.44585624,424037375600.1312
2024-01-22 09:00:00,3391000.0,3402000.0,3003000.0,3105000.0,160660.40901255,503647003800.05725
2024-01-29 09:00:00,3106000.0,3280000.0,3074000.0,3160000.0,93053.03282774,294899364470.6647
2024-02-05 09:00:00,3158000.0,3427000.0,3130000.0,3390000.0,106730.85674401,353626015784.11786
2024-02-12 09:00:00,3389000.0,3990000.0,3360000.0,3976000.0,239046.99286788,894510491075.6082
2024-02-19 09:00:00,3976000.0,4299000.0,3950000.0,4291000.0,212491.882896,872792552390.2382
2024-02-26 09:00:00,4291000.0,4945000.0,4167000.0,4869000.0,410801.63485332,1909571096593.5242
2024-03-04 09:00:00,4864000.0,5624000.0,4783000.0,5488000.0,484396.19424135,2543850702415.8687
2024-03-11 09:00:00,5488000.0,5783000.0,4979000.0,5326000.0,402808.88971194,2204932293034.546
2024-03-18 09:00:00,5324000.0,5330000.0,4518000.0,4964000.0,312090.8938296,1545973414628.7354
2024-03-25 09:00:00,4963000.0,5200000.0,4916000.0,5161000.0,148976.53266207,756712051090.0809
2024-04-01 09:00:00,5161000.0,5175000.0,4701000.0,4947000.0,143868.87445422,701625602050.5177
2024-04-08 09:00:00,4947000.0,5301000.0,4400000.0,4752000.0,262136.39399218,1284238980909.1465
2024-04-15 09:00:00,4752000.0,4912000.0,4257000.0,4600000.0,185419.09149368,850236582359.3861
2024-04-22 09:00:00,4600000.0,4795000.0,4444000.0,4679000.0,115078.47238709,532036458695.0793
2024-04-29 09:00:00,4679000.0,4713000.0,3980000.0,4410000.0,193571.20722418,834893630223.3466
2024-05-06 09:00:00,4409000.0,4500000.0,4070000.0,4125000.0,85943.76981698,364726822257.27203
2024-05-13 09:00:00,4125000.0,4369000.0,4021000.0,4268000.0,108089.99498734,451762676346.8258
2024-05-20 09:00:00,4270000.0,5449000.0,4236000.0,5124000.0,350016.02348998,1796860112236.0884
